num,level,title,url
335,d,D - Loong and Takahashi,https://atcoder.jp/contests/abc335/tasks/abc335_d
337,d,D - Cheating Gomoku Narabe,https://atcoder.jp/contests/abc337/tasks/abc337_d
338,d,D - Island Tour,https://atcoder.jp/contests/abc338/tasks/abc338_d
339,d,D - Synchronized Players ,https://atcoder.jp/contests/abc339/tasks/abc339_d
340,d,D - Super Takahashi Bros.,https://atcoder.jp/contests/abc340/tasks/abc340_d
341,c,C - Takahashi Gets Lost,https://atcoder.jp/contests/abc341/tasks/abc341_c
344,d,D - String Bags,https://atcoder.jp/contests/abc344/tasks/abc344_d
345,d,D - Tiling,https://atcoder.jp/contests/abc345/tasks/abc345_d
348,d,D - Medicines on Grid,https://atcoder.jp/contests/abc348/tasks/abc348_d
351,d,D - Grid and Magnet,https://atcoder.jp/contests/abc351/tasks/abc351_d
353,d,D - Another Sigma Problem ,https://atcoder.jp/contests/abc353/tasks/abc353_d
355,c,C - Bingo 2,https://atcoder.jp/contests/abc355/tasks/abc355_c
357,c,C - Sierpinski carpet,https://atcoder.jp/contests/abc357/tasks/abc357_c
357,d,D - 88888888,https://atcoder.jp/contests/abc357/tasks/abc357_d
358,c,C - Popcorn,https://atcoder.jp/contests/abc358/tasks/abc358_c
359,c,C - Tile Distance 2,https://atcoder.jp/contests/abc359/tasks/abc359_c
360,c,C - Move It,https://atcoder.jp/contests/abc360/tasks/abc360_c
360,d,D - Ghost Ants,https://atcoder.jp/contests/abc360/tasks/abc360_d
361,c,C - Make Them Narrow,https://atcoder.jp/contests/abc361/tasks/abc361_c
361,d,D - Go Stone Puzzle,https://atcoder.jp/contests/abc361/tasks/abc361_d
362,d,D - Shortest Path 3,https://atcoder.jp/contests/abc362/tasks/abc362_d
364,d,D - K-th Nearest,https://atcoder.jp/contests/abc364/tasks/abc364_d
368,d,D - Minimum Steiner Tree,https://atcoder.jp/contests/abc368/tasks/abc368_d
370,d,D - Cross Explosion,https://atcoder.jp/contests/abc370/tasks/abc370_d
371,c,C - Make Isomorphic,https://atcoder.jp/contests/abc371/tasks/abc371_c
373,d,D - Hidden Weights,https://atcoder.jp/contests/abc373/tasks/abc373_d
374,d,D - Laser Marking,https://atcoder.jp/contests/abc374/tasks/abc374_d
375,c,C - Spiral Rotation,https://atcoder.jp/contests/abc375/tasks/abc375_c
376,d,D - Cycle,https://atcoder.jp/contests/abc376/tasks/abc376_d
377,c,C - Avoid Knight Attack,https://atcoder.jp/contests/abc377/tasks/abc377_c
378,d,D - Count Simple Paths,https://atcoder.jp/contests/abc378/tasks/abc378_d
379,c,C - Sowing Stones,https://atcoder.jp/contests/abc379/tasks/abc379_c
380,c,C - Move Segment,https://atcoder.jp/contests/abc380/tasks/abc380_c
380,d,D - Strange Mirroring,https://atcoder.jp/contests/abc380/tasks/abc380_d
383,c,C - Humidifier 3,https://atcoder.jp/contests/abc383/tasks/abc383_c
385,d,D - Santa Claus 2,https://atcoder.jp/contests/abc385/tasks/abc385_d
386,d,D - Diagonal Separation,https://atcoder.jp/contests/abc386/tasks/abc386_d
387,d,D - Snaky Walk,https://atcoder.jp/contests/abc387/tasks/abc387_d
389,d,D - Squares in Circle,https://atcoder.jp/contests/abc389/tasks/abc389_d
390,c,C - Paint to make a rectangle,https://atcoder.jp/contests/abc390/tasks/abc390_c
391,c,C - Pigeonhole Query,https://atcoder.jp/contests/abc391/tasks/abc391_c
391,d,D - Gravity,https://atcoder.jp/contests/abc391/tasks/abc391_d
393,c,C - Make it Simple,https://atcoder.jp/contests/abc393/tasks/abc393_c
394,d,D - Colorful Bracket Sequence,https://atcoder.jp/contests/abc394/tasks/abc394_d
395,d,D - Pigeon Swap,https://atcoder.jp/contests/abc395/tasks/abc395_d
396,d,D - Minimum XOR Path,https://atcoder.jp/contests/abc396/tasks/abc396_d
398,d,D - Bonfire,https://atcoder.jp/contests/abc398/tasks/abc398_d
399,c,C - Make it Forest,https://atcoder.jp/contests/abc399/tasks/abc399_c
